ID,molecule,iso-slug,formula,dataset,Tmax,mass,abundance,Main column,Main format,QN label,QN format
59,MgO,26Mg-16O,(26Mg)(16O),LiTY,5000,41.977508,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%65d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
60,N2,14N2,(14N)2,WCCRMT,9000,28.006148,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%66d","+/-,e/f,g/u,ElecState,v,Fi,N","%1s,%1s,%1s,%12s,%3d,%4s,%5d"
61,N2O,14N2-16O,(14N)2(16O),TYM,5000,44.001063,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%67d","Grve,n1,n2lin,l2,n3","%3s,%2d,%2d,%2d,%2d"
62,N2O,14N2-17O,(14N)2(17O),TYM,2000,45.00528,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%68d","Grve,l","%3s,%2d"
63,N2O,14N2-18O,(14N)2(18O),TYM,2000,46.005308,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%69d","Grve,l","%3s,%2d"
64,N2O,15N-14N-16O,(15N)(14N)(16O),TYM,2000,44.998098,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%70d","Grve,l","%3s,%2d"
65,NH,14N-1H,(14N)(1H),2kNigHt,10000,15.010899,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%71d","+/-,e/f,ElecState,v,Lambda,N,Fi","%1s,%1s,%12s,%3d,%5d,%5d,%2d"
66,NH,14N-2H,(14N)(2H),2kNigHt,10000,16.017176,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%72d","+/-,e/f,ElecState,v,Lambda,N,Fi","%1s,%1s,%12s,%3d,%5d,%5d,%2d"
67,NH,15N-1H,(15N)(1H),2kNigHt,10000,16.007934,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%73d","+/-,e/f,ElecState,v,Lambda,N,Fi","%1s,%1s,%12s,%3d,%5d,%5d,%2d"
68,NH,15N-2H,(15N)(2H),2kNigHt,10000,17.014211,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%74d","+/-,e/f,ElecState,v,Lambda,N,Fi","%1s,%1s,%12s,%3d,%5d,%5d,%2d"
69,NH3,14N-1H2-2H,(14N)(1H)2(2H),CoYuTe,3000,18.032826,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%75d","Grve,v1,v2,v3a,v3b,v4a,v4b,invpar,Ka,Kc","%3s,%3d,%3d,%3d,%3d,%3d,%3d,%1s,%2d,%2d"
70,NH3,14N-1H3,(14N)(1H)3,CoYuTe,2000,17.026549,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%76d","+/-,Grve,nblock,n1,n2,n3,n4,l3,l4,invpar,K,rotpar","%1s,%3d,%5d,%2d,%2d,%2d,%2d,%2d,%2d,%1d,%3d,%3d"
71,NH3,14N-2H2-1H,(14N)(2H)2(1H),CoYuTe,3000,19.039103,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%77d","Grve,v1,v2,v3a,v3b,v4a,v4b,invpar,Ka,Kc","%3s,%3d,%3d,%3d,%3d,%3d,%3d,%1s,%2d,%2d"
72,NH3,15N-1H3,(15N)(1H)3,CoYuTe-15,2000,18.023584,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%78d","Grve,n1,n2,n3,n4,l3,l4,K,nblock,s/a","%3s,%2d,%2d,%2d,%2d,%2d,%2d,%3d,%5d,%1s"
73,NO,14N-16O,(14N)(16O),XABC,5000,29.997989,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%79d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
74,NO_p,14N-16O_p,(14N)(16O)+,NOPE,5000,29.997989,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%80d","+/-,e/f,v","%1s,%1s,%3d"
75,NiH,58Ni-1H,(58Ni)(1H),BYOT,10000,58.943167,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%81d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
76,NiH,58Ni-2H,(58Ni)(2H),BYOT,10000,59.949444,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%82d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
77,NiH,60Ni-1H,(60Ni)(1H),BYOT,10000,60.93861,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%83d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
